----------------------------------------------------------------------------------------------------------
Benchmark                                                                Time             CPU   Iterations
BM_Sort_tuple<uint32, uint64, uint32>_SingleElement_1024              1.10 ns        0.987 ns    838860800
BM_Sort_tuple<uint32, uint64, uint32>_SingleElement_16384             1.08 ns        0.969 ns    838860800
BM_Sort_tuple<uint32, uint64, uint32>_SingleElement_262144            1.08 ns         1.16 ns    510656512
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_1                     1.11 ns         1.01 ns    559415296
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_4                     3.73 ns         3.73 ns    167772160
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_16                    7.79 ns         7.45 ns     83886080
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_64                    12.9 ns         14.3 ns     53477376
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_256                   19.7 ns         19.7 ns     29360128
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_1024                  27.1 ns         27.4 ns     26214400
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_16384                 67.0 ns         67.4 ns      9961472
BM_Sort_tuple<uint32, uint64, uint32>_PipeOrgan_262144                 220 ns          224 ns      3145728
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_1            1.10 ns         1.09 ns    559415296
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_4            3.99 ns         3.99 ns    195821568
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_16           7.97 ns         8.01 ns     83886080
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_64           13.1 ns         12.9 ns     53477376
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_256          18.9 ns         19.1 ns     26214400
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_1024         24.0 ns         22.4 ns     29360128
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_16384        74.5 ns         75.6 ns     10747904
BM_Sort_tuple<uint32, uint64, uint32>_QuickSortAdversary_262144       87.9 ns         89.4 ns      7864320
BM_Sort_string_Random_1                                               1.57 ns         1.58 ns    405012480
BM_Sort_string_Random_4                                               31.5 ns         34.2 ns     19660800
BM_Sort_string_Random_16                                              58.8 ns         55.6 ns     11796480
BM_Sort_string_Random_64                                              87.7 ns         88.6 ns      9175040
BM_Sort_string_Random_256                                              110 ns          119 ns      7340032
BM_Sort_string_Random_1024                                             133 ns          139 ns      5505024
BM_Sort_string_Random_16384                                            206 ns          214 ns      3145728
BM_Sort_string_Random_262144                                           308 ns          298 ns      2359296
BM_Sort_string_Ascending_1                                            1.57 ns         1.62 ns    365690880
BM_Sort_string_Ascending_4                                            22.1 ns         22.9 ns     29360128
BM_Sort_string_Ascending_16                                           35.2 ns         34.2 ns     19660800
BM_Sort_string_Ascending_64                                           52.6 ns         51.1 ns     14680064
BM_Sort_string_Ascending_256                                          74.4 ns         75.3 ns      9961472
BM_Sort_string_Ascending_1024                                          107 ns         97.8 ns      6553600
BM_Sort_string_Ascending_16384                                         297 ns          298 ns      2359296
BM_Sort_string_Ascending_262144                                       1201 ns         1212 ns       786432
BM_Sort_string_Descending_1                                           1.60 ns         2.01 ns    457703424
BM_Sort_string_Descending_4                                           22.2 ns         23.2 ns     23592960
BM_Sort_string_Descending_16                                          38.2 ns         39.1 ns     16777216
BM_Sort_string_Descending_64                                          56.0 ns         59.6 ns     11796480
BM_Sort_string_Descending_256                                         76.9 ns         81.5 ns      7864320
BM_Sort_string_Descending_1024                                         102 ns         97.4 ns      7864320
BM_Sort_string_Descending_16384                                        229 ns          228 ns      3145728
BM_Sort_string_Descending_262144                                       867 ns          874 ns       786432
BM_Sort_string_SingleElement_1                                        1.53 ns         1.56 ns    559415296
BM_Sort_string_SingleElement_4                                        11.1 ns         12.1 ns     61865984
BM_Sort_string_SingleElement_16                                       11.1 ns         11.5 ns     69206016
BM_Sort_string_SingleElement_64                                       9.47 ns         7.68 ns     69206016
BM_Sort_string_SingleElement_256                                      7.12 ns         7.45 ns    117440512
